# Every `pro` command path the CLI shipped before spec-derived naming, with the
# shape it had then and the shape it has now. See invocation_sweep_test.go.
#
# Columns: invocation <TAB> was <TAB> now
#   leaf  — resolves to a command that runs and returns a result
#   group — resolves to a parent, which prints help and exits 0
#   gone  — no longer resolves at all (`now` only)
#
# A `leaf`->`group` row is the worst shape a rename can take and there are three:
# the path still resolves and still exits 0, and a script piping it into jq gets
# help text instead of data. Recorded here and in CHANGELOG.md's migration table.
pro blueprints list	leaf	leaf
pro blueprints patch	leaf	leaf
pro blueprints report	leaf	leaf
pro blueprints scope	group	group
pro blueprints scope add	leaf	leaf
pro blueprints scope list	leaf	leaf
pro blueprints scope remove	leaf	leaf
pro blueprints undeploy	leaf	leaf
pro buildings	group	group
pro buildings add-history-note	leaf	leaf
pro buildings apply	leaf	leaf
pro buildings create	leaf	leaf
pro buildings delete	leaf	leaf
pro buildings delete-multiple	leaf	leaf
pro buildings export	leaf	leaf
pro buildings get	leaf	leaf
pro buildings history	leaf	leaf
pro buildings history-export	leaf	leaf
pro buildings list	leaf	leaf
pro buildings update	leaf	leaf
pro bulk	group	group
pro bulk add-to-group	leaf	leaf
pro bulk disable-policies	leaf	leaf
pro bulk enable-policies	leaf	leaf
pro bulk remove-from-group	leaf	leaf
pro bulk send-command	leaf	leaf
pro cache	group	group
pro cache get	leaf	leaf
pro cache update	leaf	leaf
pro categories	group	group
pro categories add-history-note	leaf	leaf
pro categories apply	leaf	leaf
pro categories create	leaf	leaf
pro categories delete	leaf	leaf
pro categories delete-multiple	leaf	leaf
pro categories get	leaf	leaf
pro categories history	leaf	leaf
pro categories list	leaf	leaf
pro categories update	leaf	leaf
pro certificate-authorities	group	group
pro certificate-authorities active	leaf	leaf
pro certificate-authorities der	leaf	leaf
pro certificate-authorities der-by-id	leaf	leaf
pro certificate-authorities get	leaf	leaf
pro certificate-authorities pem	leaf	leaf
pro certificate-authorities pem-by-id	leaf	leaf
pro change-passwords	group	group
pro change-passwords change-password	leaf	leaf
pro classic-account-groups	group	group
pro classic-account-groups create	leaf	leaf
pro classic-account-groups delete	leaf	leaf
pro classic-account-groups get	leaf	leaf
pro classic-account-groups list	leaf	leaf
pro classic-account-groups update	leaf	leaf
pro classic-account-users	group	group
pro classic-account-users create	leaf	leaf
pro classic-account-users delete	leaf	leaf
pro classic-account-users get	leaf	leaf
pro classic-account-users list	leaf	leaf
pro classic-account-users update	leaf	leaf
pro classic-accounts	group	group
pro classic-accounts list	leaf	leaf
pro classic-advanced-computer-searches	group	group
pro classic-advanced-computer-searches apply	leaf	leaf
pro classic-advanced-computer-searches create	leaf	leaf
pro classic-advanced-computer-searches delete	leaf	leaf
pro classic-advanced-computer-searches get	leaf	leaf
pro classic-advanced-computer-searches list	leaf	leaf
pro classic-advanced-computer-searches update	leaf	leaf
pro classic-advanced-mobile-device-searches	group	group
pro classic-advanced-mobile-device-searches apply	leaf	leaf
pro classic-advanced-mobile-device-searches create	leaf	leaf
pro classic-advanced-mobile-device-searches delete	leaf	leaf
pro classic-advanced-mobile-device-searches get	leaf	leaf
pro classic-advanced-mobile-device-searches list	leaf	leaf
pro classic-advanced-mobile-device-searches update	leaf	leaf
pro classic-allowed-file-extensions	group	group
pro classic-allowed-file-extensions create	leaf	leaf
pro classic-allowed-file-extensions delete	leaf	leaf
pro classic-allowed-file-extensions get	leaf	leaf
pro classic-allowed-file-extensions list	leaf	leaf
pro classic-classes	group	group
pro classic-classes apply	leaf	leaf
pro classic-classes create	leaf	leaf
pro classic-classes delete	leaf	leaf
pro classic-classes get	leaf	leaf
pro classic-classes list	leaf	leaf
pro classic-classes update	leaf	leaf
pro classic-computer-app-usage	leaf	leaf
pro classic-computer-commands	group	group
pro classic-computer-commands list	leaf	leaf
pro classic-computer-configs	group	group
pro classic-computer-configs apply	leaf	leaf
pro classic-computer-configs create	leaf	leaf
pro classic-computer-configs delete	leaf	leaf
pro classic-computer-configs get	leaf	leaf
pro classic-computer-configs list	leaf	leaf
pro classic-computer-configs update	leaf	leaf
pro classic-computer-ext-attrs	group	group
pro classic-computer-ext-attrs apply	leaf	leaf
pro classic-computer-ext-attrs create	leaf	leaf
pro classic-computer-ext-attrs delete	leaf	leaf
pro classic-computer-ext-attrs get	leaf	leaf
pro classic-computer-ext-attrs list	leaf	leaf
pro classic-computer-ext-attrs update	leaf	leaf
pro classic-computer-groups	group	group
pro classic-computer-groups apply	leaf	leaf
pro classic-computer-groups create	leaf	leaf
pro classic-computer-groups delete	leaf	leaf
pro classic-computer-groups get	leaf	leaf
pro classic-computer-groups list	leaf	leaf
pro classic-computer-groups update	leaf	leaf
pro classic-computer-history	group	group
pro classic-computer-history get	leaf	leaf
pro classic-computer-invitations	group	group
pro classic-computer-invitations create	leaf	leaf
pro classic-computer-invitations delete	leaf	leaf
pro classic-computer-invitations get	leaf	leaf
pro classic-computer-invitations list	leaf	leaf
pro classic-directory-bindings	group	group
pro classic-directory-bindings apply	leaf	leaf
pro classic-directory-bindings create	leaf	leaf
pro classic-directory-bindings delete	leaf	leaf
pro classic-directory-bindings get	leaf	leaf
pro classic-directory-bindings list	leaf	leaf
pro classic-directory-bindings update	leaf	leaf
pro classic-disk-encryption-configs	group	group
pro classic-disk-encryption-configs apply	leaf	leaf
pro classic-disk-encryption-configs create	leaf	leaf
pro classic-disk-encryption-configs delete	leaf	leaf
pro classic-disk-encryption-configs get	leaf	leaf
pro classic-disk-encryption-configs list	leaf	leaf
pro classic-disk-encryption-configs update	leaf	leaf
pro classic-distribution-points	group	group
pro classic-distribution-points apply	leaf	leaf
pro classic-distribution-points create	leaf	leaf
pro classic-distribution-points delete	leaf	leaf
pro classic-distribution-points get	leaf	leaf
pro classic-distribution-points list	leaf	leaf
pro classic-distribution-points update	leaf	leaf
pro classic-dock-items	group	group
pro classic-dock-items apply	leaf	leaf
pro classic-dock-items create	leaf	leaf
pro classic-dock-items delete	leaf	leaf
pro classic-dock-items get	leaf	leaf
pro classic-dock-items list	leaf	leaf
pro classic-dock-items update	leaf	leaf
pro classic-ebooks	group	group
pro classic-ebooks apply	leaf	leaf
pro classic-ebooks create	leaf	leaf
pro classic-ebooks delete	leaf	leaf
pro classic-ebooks get	leaf	leaf
pro classic-ebooks list	leaf	leaf
pro classic-ebooks scope	group	group
pro classic-ebooks scope add	leaf	leaf
pro classic-ebooks scope get	leaf	leaf
pro classic-ebooks scope remove	leaf	leaf
pro classic-ebooks update	leaf	leaf
pro classic-gsx-connection	group	group
pro classic-gsx-connection get	leaf	leaf
pro classic-gsx-connection update	leaf	leaf
pro classic-ibeacons	group	group
pro classic-ibeacons apply	leaf	leaf
