# Endpoints reachable from `pro` before path-derived resource naming.
# resource<TAB>operation<TAB>method<TAB>path<TAB>nameField<TAB>idField
# Generated once from the 165-file spec layout at its final commit.
access-managements	access-management	POST	/v4/enrollment/access-management	name	id
access-managements	list	GET	/v4/enrollment/access-management	name	id
account-driven-user-enrollment-session-token-settings	get	GET	/v1/adue-session-token-settings	name	id
account-driven-user-enrollment-session-token-settings	update	PUT	/v1/adue-session-token-settings	name	id
account-groups	get	GET	/v1/account-groups/{id}	name	id
account-groups	list	GET	/v1/account-groups	name	id
account-preferences	list	GET	/v3/account-preferences	name	id
account-preferences	patch	PATCH	/v3/account-preferences	name	id
activation-codes	add-history-note	POST	/v1/activation-code/history	organizationName	id
activation-codes	history	GET	/v1/activation-code/history	organizationName	id
activation-codes	history-export	POST	/v1/activation-code/history/export	organizationName	id
activation-codes	patch	PATCH	/v1/activation-code/organization-name	organizationName	id
activation-codes	update	PUT	/v1/activation-code	organizationName	id
adcs-settings	add-history-note	POST	/v1/pki/adcs-settings/{id}/history	displayName	id
adcs-settings	create	POST	/v1/pki/adcs-settings	displayName	id
adcs-settings	delete	DELETE	/v1/pki/adcs-settings/{id}	displayName	id
adcs-settings	dependencies	GET	/v1/pki/adcs-settings/{id}/dependencies	displayName	id
adcs-settings	get	GET	/v1/pki/adcs-settings/{id}	displayName	id
adcs-settings	history	GET	/v1/pki/adcs-settings/{id}/history	displayName	id
adcs-settings	patch	PATCH	/v1/pki/adcs-settings/{id}	displayName	id
adcs-settings	validate-certificate	POST	/v1/pki/adcs-settings/validate-certificate	displayName	id
adcs-settings	validate-client-certificate	POST	/v1/pki/adcs-settings/validate-client-certificate	displayName	id
advanced-mobile-device-searches	choices	GET	/v1/advanced-mobile-device-searches/choices	name	id
advanced-mobile-device-searches	create	POST	/v1/advanced-mobile-device-searches	name	id
advanced-mobile-device-searches	delete	DELETE	/v1/advanced-mobile-device-searches/{id}	name	id
advanced-mobile-device-searches	delete-multiple	POST	/v1/advanced-mobile-device-searches/delete-multiple	name	id
advanced-mobile-device-searches	get	GET	/v1/advanced-mobile-device-searches/{id}	name	id
advanced-mobile-device-searches	list	GET	/v1/advanced-mobile-device-searches	name	id
advanced-mobile-device-searches	update	PUT	/v1/advanced-mobile-device-searches/{id}	name	id
advanced-user-content-searches	create	POST	/v1/advanced-user-content-searches	name	id
advanced-user-content-searches	delete	DELETE	/v1/advanced-user-content-searches/{id}	name	id
advanced-user-content-searches	get	GET	/v1/advanced-user-content-searches/{id}	name	id
advanced-user-content-searches	list	GET	/v1/advanced-user-content-searches	name	id
advanced-user-content-searches	update	PUT	/v1/advanced-user-content-searches/{id}	name	id
api-integrations	client-credentials	POST	/v1/api-integrations/{id}/client-credentials	displayName	id
api-integrations	create	POST	/v1/api-integrations	displayName	id
api-integrations	delete	DELETE	/v1/api-integrations/{id}	displayName	id
api-integrations	get	GET	/v1/api-integrations/{id}	displayName	id
api-integrations	list	GET	/v1/api-integrations	displayName	id
api-integrations	update	PUT	/v1/api-integrations/{id}	displayName	id
api-roles	create	POST	/v1/api-roles	displayName	id
api-roles	delete	DELETE	/v1/api-roles/{id}	displayName	id
api-roles	get	GET	/v1/api-roles/{id}	displayName	id
api-roles	list	GET	/v1/api-roles	displayName	id
api-roles	update	PUT	/v1/api-roles/{id}	displayName	id
api-roles-privileges	api-role-privileges	GET	/v1/api-role-privileges	name	id
api-roles-privileges	search	GET	/v1/api-role-privileges/search	name	id
apns-client-push-status	apns-client-push-status	GET	/v1/apns-client-push-status	name	id
apns-client-push-status	enable-all-clients	POST	/v1/apns-client-push-status/enable-all-clients	name	id
apns-client-push-status	enable-client	POST	/v1/apns-client-push-status/enable-client	name	id
apns-client-push-status	status	GET	/v1/apns-client-push-status/enable-all-clients/status	name	id
app-installer-deployments	add-history-note	POST	/v1/app-installers/deployments/{id}/history	name	id
app-installer-deployments	computers	GET	/v1/app-installers/deployments/{id}/computers	name	id
app-installer-deployments	create	POST	/v1/app-installers/deployments	name	id
app-installer-deployments	delete	DELETE	/v1/app-installers/deployments/{id}	name	id
app-installer-deployments	export	POST	/v1/app-installers/deployments/export	name	id
app-installer-deployments	get	GET	/v1/app-installers/deployments/{id}	name	id
app-installer-deployments	history	GET	/v1/app-installers/deployments/{id}/history	name	id
app-installer-deployments	installation-retry	POST	/v1/app-installers/deployments/{id}/computers/installation-retry	name	id
app-installer-deployments	installation-retry-by-computer-id	POST	/v1/app-installers/deployments/{id}/computers/{computerId}/installation-retry	name	id
app-installer-deployments	installation-summary	GET	/v1/app-installers/deployments/{id}/installation-summary	name	id
app-installer-deployments	list	GET	/v1/app-installers/deployments	name	id
app-installer-deployments	update	PUT	/v1/app-installers/deployments/{id}	name	id
app-installer-deployments	version-update	POST	/v1/app-installers/deployments/{id}/version-update	name	id
app-installer-global-settings	add-history-note	POST	/v1/app-installers/global-settings/history	name	id
app-installer-global-settings	deployment-controls	GET	/v1/app-installers/global-settings/defaults/deployment-controls	name	id
app-installer-global-settings	get	GET	/v1/app-installers/global-settings	name	id
app-installer-global-settings	history	GET	/v1/app-installers/global-settings/history	name	id
app-installer-global-settings	update	PUT	/v1/app-installers/global-settings	name	id
app-installer-titles	get	GET	/v1/app-installers/titles/{id}	titleName	id
app-installer-titles	list	GET	/v1/app-installers/titles	titleName	id
app-installer-titles	versions	GET	/v1/app-installers/titles/{id}/versions	titleName	id
app-installers	get	GET	/v1/app-installers	name	id
app-requests	create	POST	/v1/app-request/form-input-fields	name	id
app-requests	delete	DELETE	/v1/app-request/form-input-fields/{id}	name	id
app-requests	get	GET	/v1/app-request/form-input-fields/{id}	name	id
app-requests	list	GET	/v1/app-request/form-input-fields	name	id
app-requests	settings	GET	/v1/app-request/settings	name	id
app-requests	update	PUT	/v1/app-request/form-input-fields	name	id
app-requests	update	PUT	/v1/app-request/form-input-fields/{id}	name	id
app-requests	update-settings	PUT	/v1/app-request/settings	name	id
authentications	current	POST	/auth/current	name	id
authentications	invalidate-token	POST	/auth/invalidateToken	name	id
authentications	invalidate-token	POST	/v1/auth/invalidate-token	name	id
authentications	keep-alive	POST	/auth/keepAlive	name	id
authentications	keep-alive	POST	/v1/auth/keep-alive	name	id
authentications	list	GET	/v1/auth	name	id
authentications	oauth-token	POST	/v1/oauth/token	name	id
authentications	token	POST	/v1/auth/token	name	id
buildings	add-history-note	POST	/v1/buildings/{id}/history	name	id
buildings	create	POST	/v1/buildings	name	id
buildings	delete	DELETE	/v1/buildings/{id}	name	id
buildings	delete-multiple	POST	/v1/buildings/delete-multiple	name	id
buildings	export	POST	/v1/buildings/export	name	id
buildings	get	GET	/v1/buildings/{id}	name	id
buildings	history	GET	/v1/buildings/{id}/history	name	id
buildings	history-export	POST	/v1/buildings/{id}/history/export	name	id
buildings	list	GET	/v1/buildings	name	id
buildings	update	PUT	/v1/buildings/{id}	name	id
cache	get	GET	/v1/cache-settings	name	id
cache	update	PUT	/v1/cache-settings	name	id
categories	add-history-note	POST	/v1/categories/{id}/history	name	id
categories	create	POST	/v1/categories	name	id
categories	delete	DELETE	/v1/categories/{id}	name	id
categories	delete-multiple	POST	/v1/categories/delete-multiple	name	id
categories	get	GET	/v1/categories/{id}	name	id
categories	history	GET	/v1/categories/{id}/history	name	id
categories	list	GET	/v1/categories	name	id
categories	update	PUT	/v1/categories/{id}	name	id
certificate-authorities	active	GET	/v1/pki/certificate-authority/active	name	algorithmOid
certificate-authorities	der	GET	/v1/pki/certificate-authority/active/der	name	algorithmOid
certificate-authorities	der-by-id	GET	/v1/pki/certificate-authority/{id}/der	name	algorithmOid
certificate-authorities	get	GET	/v1/pki/certificate-authority/{id}	name	algorithmOid
certificate-authorities	pem	GET	/v1/pki/certificate-authority/active/pem	name	algorithmOid
certificate-authorities	pem-by-id	GET	/v1/pki/certificate-authority/{id}/pem	name	algorithmOid
change-passwords	change-password	POST	/v1/user/change-password	name	id
classic-ldaps	get	GET	/v1/classic-ldap/{id}	name	id
client-check-in	add-history-note	POST	/v3/check-in/history	name	id
client-check-in	get	GET	/v3/check-in	name	id
client-check-in	history	GET	/v3/check-in/history	name	id
client-check-in	update	PUT	/v3/check-in	name	id
cloud-azure-defaults	mappings	GET	/v1/cloud-azure/defaults/mappings	name	id
cloud-azure-defaults	server-configuration	GET	/v1/cloud-azure/defaults/server-configuration	name	id
cloud-azures	create	POST	/v1/cloud-azure	name	id
cloud-azures	delete	DELETE	/v1/cloud-azure/{id}	name	id
cloud-azures	get	GET	/v1/cloud-azure/{id}	name	id
cloud-azures	update	PUT	/v1/cloud-azure/{id}	name	id
cloud-distribution-points	action	POST	/v1/cloud-distribution-point/fail-upload/{id}	fileName	id
cloud-distribution-points	add-history-note	POST	/v1/cloud-distribution-point/history	fileName	id
cloud-distribution-points	cloud-distribution-point	GET	/v1/cloud-distribution-point	fileName	id
cloud-distribution-points	create	POST	/v1/cloud-distribution-point	fileName	id
cloud-distribution-points	delete	DELETE	/v1/cloud-distribution-point	fileName	id
cloud-distribution-points	files	GET	/v1/cloud-distribution-point/files	fileName	id
cloud-distribution-points	history	GET	/v1/cloud-distribution-point/history	fileName	id
cloud-distribution-points	patch	PATCH	/v1/cloud-distribution-point	fileName	id
cloud-distribution-points	refresh-inventory	POST	/v1/cloud-distribution-point/refresh-inventory	fileName	id
cloud-distribution-points	test-connection	GET	/v1/cloud-distribution-point/test-connection	fileName	id
cloud-distribution-points	upload-capability	GET	/v1/cloud-distribution-point/upload-capability	fileName	id
